source_book_id,title,author,category,subcategory,source_url,intro,tags_json,favorites_count,views_proxy,word_count,status,updated_at,first_day_v,first_day_favorites,first_day_flowers,first_day_reward,first_day_rating,first_day_reviews,first_day_words_k,best_rank,worst_rank,total_times
1289433,我祁同炜，从京海开始玩命,摸金校蔚,同人小说,影视同人,https://b.faloo.com/1289433.html,分类:同人小说；二级:影视同人；来源:excel,"{""sourceBookId"":1289433,""inXls"":true,""xlsCreatedAt"":""2023-03-06 00:00:00"",""firstRankDate"":""2023-03-23 00:00:00"",""lastRankDate"":""2023-06-05 00:00:00""}",0,0,0,published,,,,344,0,0,6,27.0,7,48,97
1289446,美漫：开局曝光基金会，震惊世界,雨夜带刀易,同人小说,动漫同人,https://b.faloo.com/1289446.html,分类:同人小说；二级:动漫同人；来源:excel,"{""sourceBookId"":1289446,""inXls"":true,""xlsCreatedAt"":""2023-03-06 00:00:00"",""firstRankDate"":""2023-04-12 00:00:00"",""lastRankDate"":""2023-04-12 00:00:00""}",0,0,0,published,,,,1308,688,0,12,12.0,1,2,2
1289676,人在木叶写日记，雏田媳婆坏掉了,天榜胖猫,同人小说,动漫同人,https://b.faloo.com/1289676.html,分类:同人小说；二级:动漫同人；来源:excel,"{""sourceBookId"":1289676,""inXls"":true,""xlsCreatedAt"":""2023-03-07 00:00:00"",""firstRankDate"":""2023-03-19 00:00:00"",""lastRankDate"":""2023-04-27 00:00:00""}",0,0,0,published,,,,6104,100,314,9,20.0,1,46,77
1289725,崩坏：开局带草履虫看毕业旅行,瓜儿皮皮皮皮,科幻网游,虚拟网游,https://b.faloo.com/1289725.html,分类:科幻网游；二级:虚拟网游；来源:excel,"{""sourceBookId"":1289725,""inXls"":true,""xlsCreatedAt"":""2023-03-07 00:00:00"",""firstRankDate"":""2023-03-23 00:00:00"",""lastRankDate"":""2023-04-07 00:00:00""}",0,0,0,published,,,,6728,588,148,6,19.0,31,49,7
1289798,娱乐探秘：扮演张麒麟，热芭倒贴,僵尸小和尚,都市言情,都市生活,https://b.faloo.com/1289798.html,分类:都市言情；二级:都市生活；来源:excel,"{""sourceBookId"":1289798,""inXls"":true,""xlsCreatedAt"":""2023-03-07 00:00:00"",""firstRankDate"":""2023-04-07 00:00:00"",""lastRankDate"":""2023-07-06 00:00:00""}",0,0,0,published,,,,46,0,0,7,12.0,1,48,28
1289899,娱乐：大学生当群演，卷成影帝？,天榜万金油,都市言情,都市生活,https://b.faloo.com/1289899.html,分类:都市言情；二级:都市生活；来源:excel,"{""sourceBookId"":1289899,""inXls"":true,""xlsCreatedAt"":""2023-03-07 00:00:00"",""firstRankDate"":""2023-03-21 00:00:00"",""lastRankDate"":""2023-04-11 00:00:00""}",0,0,0,published,,,,532,0,0,0,9.0,16,42,38
1289941,娱乐：最深情渣男，女星跪求复合,天榜瑶妹,都市言情,浪漫言情,https://b.faloo.com/1289941.html,分类:都市言情；二级:浪漫言情；来源:excel,"{""sourceBookId"":1289941,""inXls"":true,""xlsCreatedAt"":""2023-03-07 00:00:00"",""firstRankDate"":""2023-04-06 00:00:00"",""lastRankDate"":""2023-04-12 00:00:00""}",0,0,0,published,,,,539,100,96,0,18.0,6,44,11
1290085,武侠：从满级神功系统开始无敌,西湖三月醉,武侠仙侠,武侠修真,https://b.faloo.com/1290085.html,分类:武侠仙侠；二级:武侠修真；来源:excel,"{""sourceBookId"":1290085,""inXls"":true,""xlsCreatedAt"":""2023-03-08 00:00:00"",""firstRankDate"":""2023-03-23 00:00:00"",""lastRankDate"":""2023-07-03 00:00:00""}",0,0,0,published,,,,539,100,0,6,22.0,2,49,158
1290304,娱乐：当这货粉丝，可遭老罪咯！,天榜熊猫1,都市言情,都市生活,https://b.faloo.com/1290304.html,分类:都市言情；二级:都市生活；来源:excel,"{""sourceBookId"":1290304,""inXls"":true,""xlsCreatedAt"":""2023-03-08 00:00:00"",""firstRankDate"":""2023-03-26 00:00:00"",""lastRankDate"":""2023-03-26 00:00:00""}",0,0,0,published,,,,108,0,0,3,15.0,43,43,1
1290390,综武：我，兰陵王萧玄,wos小猪佩奇,同人小说,影视同人,https://b.faloo.com/1290390.html,分类:同人小说；二级:影视同人；来源:excel,"{""sourceBookId"":1290390,""inXls"":true,""xlsCreatedAt"":""2023-03-08 00:00:00"",""firstRankDate"":""2023-03-26 00:00:00"",""lastRankDate"":""2023-03-28 00:00:00""}",0,0,0,published,,,,133,0,0,2,20.0,30,46,4
